word,count,1,2,3,4,5
soft,5,1,0,0,0,4
expensive,5,0,0,0,0,5
right,5,0,0,0,0,5
ingredients,5,0,0,2,0,3
makes,5,0,0,0,0,5
once,5,0,0,1,0,4
didn,5,0,0,1,0,4
new,5,4,0,0,0,1
fresh,5,0,1,0,1,3
delicious,5,1,0,0,1,3
strawberry,5,0,0,0,0,5
six,5,0,0,0,0,5
apple,5,0,0,0,3,2
purchased,5,1,1,0,1,2
bags,5,1,0,0,0,4
won,5,0,0,1,1,3
excellent,5,0,0,0,0,5
getting,5,0,0,0,0,5
convenient,5,0,0,0,1,4
should,5,0,0,1,2,2
meal,5,0,0,0,1,4
10,5,0,0,0,1,4
try,5,0,0,2,2,1
almost,5,0,1,0,0,4
fat,5,0,0,0,0,5
here,5,0,0,1,0,4
box,5,0,0,2,1,2
last,5,0,0,0,1,4
down,5,1,0,2,0,2
before,5,1,0,0,1,3
shipping,5,0,0,1,0,4
gummy,5,0,0,0,0,5
off,5,0,0,0,0,5
itching,5,0,0,4,0,1
actually,4,1,0,0,1,2
around,4,0,0,0,1,3
case,4,1,0,0,1,2
chewy,4,1,0,0,1,2
yummy,4,1,0,0,1,2
treat,4,1,0,0,3,0
looking,4,1,2,0,0,1
deal,4,0,0,0,1,3
candies,4,0,0,0,0,4
did,4,0,0,1,0,3
loved,4,0,0,0,1,3
healthy,4,0,0,1,0,3
tequila,4,0,0,0,0,4
combination,4,0,0,0,0,4
kind,4,0,0,0,0,4
simply,4,0,0,0,0,4
thank,4,1,0,0,0,3
going,4,0,0,0,1,3
ounce,4,0,0,0,0,4
full,4,1,0,0,0,3
unfortunately,4,2,1,0,0,1
pounds,4,0,0,0,0,4
recommended,4,0,0,0,0,4
tasty,4,0,0,0,1,3
likes,4,0,0,0,0,4
say,4,0,0,0,2,2
hard,4,2,0,0,1,1
watch,4,0,0,1,0,3
pretty,4,0,0,0,0,4
instead,4,0,0,0,2,2
however,4,0,0,2,1,1
non,4,0,0,0,0,4
three,4,0,0,0,2,2
minutes,4,0,0,0,1,3
fact,4,0,0,0,1,3
even,4,0,0,0,3,1
brands,4,0,0,1,1,2
high,4,0,0,0,2,2
why,4,0,0,0,1,3
second,4,0,0,0,1,3
irish,4,0,0,0,2,2
count,4,0,0,0,1,3
boxes,4,0,0,0,1,3
d,4,2,0,0,1,1
give,4,0,0,0,3,1
half,4,0,0,0,0,4
happy,4,0,0,0,0,4
body,4,1,0,0,0,3
top,4,0,0,0,1,3
experiment,4,0,0,0,0,4
way,4,2,1,0,0,1
nice,4,0,0,0,0,4
bean,4,0,0,0,2,2
used,4,1,0,2,0,1
beans,4,0,0,0,2,2
enough,4,0,1,0,0,3
rides,4,0,0,0,0,4
electrolytes,4,0,0,0,0,4
mango,4,0,3,0,0,1
started,4,0,0,1,0,3
sports,4,0,1,0,0,3
think,4,0,0,0,0,4
year,4,1,0,0,0,3
wet,4,0,0,0,0,4
several,3,0,0,0,0,3
tiny,3,1,0,0,2,0
highly,3,0,0,0,1,2
ingredient,3,0,1,1,0,1
quick,3,0,0,0,1,2
between,3,0,0,1,1,1
kids,3,0,0,1,1,1
husband,3,0,0,0,1,2
together,3,0,0,0,1,2
everyone,3,0,0,0,0,3
definitely,3,0,0,0,0,3
buying,3,0,0,0,0,3
cats,3,2,0,0,0,1
eats,3,0,0,0,0,3
unique,3,0,0,0,1,2
away,3,0,0,0,0,3
realized,3,0,0,0,0,3
anywhere,3,0,0,0,0,3
put,3,1,0,0,0,2
higher,3,0,0,0,0,3
first,3,2,0,0,1,0
similar,3,1,0,0,0,2
came,3,0,0,0,2,1
shared,3,0,0,0,0,3
enjoyed,3,0,0,0,0,3
ordering,3,0,0,0,0,3
favorite,3,0,0,0,0,3
company,3,0,0,0,0,3
world,3,0,0,0,1,2
fast,3,0,0,0,0,3
amounts,3,1,0,0,0,2
16,3,0,0,0,0,3
href,3,0,0,0,0,3
http,3,0,0,0,0,3
www,3,0,0,0,0,3
com,3,0,0,0,0,3
gp,3,0,0,0,0,3
able,3,0,0,0,0,3
door,3,0,0,0,1,2
easy,3,0,0,0,1,2
minute,3,0,0,0,0,3
prepare,3,0,0,0,1,2
microwave,3,0,0,0,1,2
issue,3,0,0,0,1,2
syrup,3,0,0,0,3,0
plus,3,0,0,0,3,0
maybe,3,0,0,0,1,2
bowl,3,0,0,0,1,2
steel,3,0,0,0,2,1
texture,3,0,0,0,0,3
may,3,0,0,1,0,2
eaten,3,1,0,0,0,2
thought,3,1,0,0,1,1
grocery,3,0,0,0,0,3
!!!,3,0,0,0,0,3
cup,3,0,0,0,0,3
goes,3,0,0,0,1,2
least,3,0,1,1,1,0
packs,3,0,0,0,0,3
earth,3,0,0,0,0,3
followed,3,1,0,0,0,2
cooks,3,0,0,0,0,3
giving,3,0,0,1,1,1
whole,3,1,0,0,0,2
family,3,0,0,0,0,3
save,3,0,0,1,0,2
seems,3,0,0,1,0,2
mushy,3,1,0,2,0,0
probably,3,0,0,1,1,1
looked,3,0,0,0,1,2
work,3,0,0,0,2,1
people,3,1,0,0,1,1
whose,3,0,0,0,2,1
roasted,3,0,0,0,1,2
awesome,3,0,0,1,0,2
local,3,1,0,0,0,2
online,3,0,0,0,0,3
endurolyte,3,0,0,0,0,3
long,3,0,0,0,0,3
bike,3,0,0,0,0,3
fizz,3,0,0,0,0,3
hammer,3,0,0,0,0,3
drink,3,0,0,0,0,3
cannot,3,1,0,0,0,2
works,3,0,0,0,0,3
cramping,3,2,0,0,0,1
carb,3,0,0,0,0,3
heart,3,2,0,0,0,1
problem,3,0,0,0,0,3
problems,3,0,0,0,0,3
using,3,0,0,0,0,3
sweetener,3,3,0,0,0,0
symptoms,3,2,0,0,0,1
tea,3,1,0,0,0,2
weather,3,0,0,1,0,2
ages,3,0,0,0,1,2
creamer,3,0,0,0,0,3
creamers,3,0,0,0,0,3
limited,3,0,0,1,0,2
pet,3,0,0,1,0,2
allergic,3,0,0,0,0,3
smells,2,0,0,0,0,2
jumbo,2,2,0,0,0,0
sized,2,1,0,0,0,1
few,2,0,0,0,1,1
nuts,2,0,0,0,2,0
powdered,2,0,0,0,2,0
familiar,2,0,1,0,1,0
witch,2,0,0,0,2,0
selling,2,0,0,0,1,1
believe,2,1,1,0,0,0
root,2,0,1,0,1,0
beer,2,0,1,0,1,0
soda,2,0,1,0,0,1
assortment,2,0,0,1,0,1
lover,2,0,0,0,0,2
five,2,0,0,0,1,1
pound,2,0,0,0,1,1
peppermint,2,0,0,0,1,1
etc,2,0,0,0,1,1
red,2,1,0,0,1,0
black,2,0,0,0,2,0
particular,2,0,0,0,1,1
none,2,0,0,0,0,2
party,2,0,0,0,0,2
amazing,2,1,0,0,0,1
satisfying,2,0,0,0,1,1
amount,2,0,0,0,0,2
feeding,2,0,0,0,0,2
cactus,2,0,0,0,0,2
flavour,2,0,0,0,0,2
picked,2,0,0,0,0,2
trip,2,0,0,0,0,2
brought,2,0,0,0,0,2
totally,2,0,0,0,0,2
blown,2,0,0,0,0,2
couldn,2,0,0,0,0,2
city,2,0,0,0,0,2
bummed,2,0,0,0,0,2
magic,2,0,0,0,0,2
internet,2,0,0,0,0,2
ecstatic,2,0,0,0,0,2
mean,2,0,0,0,0,2
tastelessly,2,0,0,0,0,2
burns,2,0,0,0,0,2
throat,2,0,0,0,0,2
grab,2,0,0,0,0,2
picante,2,0,0,0,0,2
gourmet,2,0,0,0,0,2
de,2,0,0,0,0,2
inclan,2,0,0,0,0,2
realize,2,0,0,0,0,2
personal,2,0,0,0,0,2
incredible,2,0,0,0,0,2
service,2,0,0,0,0,2
weight,2,0,0,0,0,2
chubby,2,0,0,0,0,2
rich,2,0,0,0,0,2
boy,2,0,0,0,0,2
stale,2,1,0,0,0,1
bowls,2,2,0,0,0,0
touch,2,1,0,0,1,0
noticed,2,1,0,0,0,1
reviews,2,1,0,0,0,1
formula,2,1,0,1,0,0
past,2,1,0,0,0,1
packed,2,0,0,0,1,1
daughter,2,0,0,0,0,2
stay,2,0,1,0,0,1
purchase,2,0,0,1,0,1
others,2,1,0,0,0,1
y,2,0,0,0,0,2
inc,2,0,0,0,0,2
twists,2,0,0,0,0,2
green,2,0,0,0,1,1
raspberry,2,0,0,0,0,2
cool,2,0,0,0,0,2
fridge,2,0,0,0,0,2
guinness,2,0,0,0,0,2
twist,2,0,0,0,0,2
record,2,0,0,0,0,2
breaking,2,0,0,0,0,2
delivered,2,0,0,0,0,2
times,2,0,0,0,0,2
overseas,2,0,0,0,0,2
country,2,0,0,0,1,1
worth,2,0,0,0,0,2
b001gvisjm,2,0,0,0,0,2
lived,2,1,0,0,0,1
someone,2,0,0,0,0,2
stock,2,0,0,0,1,1
sell,2,1,0,0,0,1
buyer,2,1,0,0,0,1
often,2,0,0,0,0,2
advertised,2,0,0,0,1,1
glad,2,0,0,1,1,0
intake,2,0,0,0,0,2
guess,2,0,0,1,0,1
impressed,2,0,0,0,0,2
myself,2,0,0,0,0,2
dark,2,0,0,0,1,1
sugary,2,0,0,0,0,2
fan,2,0,0,0,1,1
machine,2,0,0,0,0,2
trying,2,0,0,0,1,1
latte,2,0,0,0,0,2
shop,2,0,0,0,0,2
anyone,2,0,0,0,0,2
thanks,2,0,0,0,0,2
varieties,2,0,0,0,1,1
boiling,2,0,0,0,1,1
extreme,2,1,0,0,1,0
cane,2,0,0,0,2,0
corn,2,0,0,0,2,0
helped,2,0,0,0,1,1
real,2,0,0,0,1,1
heat,2,0,0,0,1,1
without,2,0,0,0,1,1
guar,2,0,0,0,2,0
gum,2,0,0,0,2,0
convenience,2,0,0,0,1,1
thick,2,0,0,0,1,1
does,2,0,0,0,1,1
sweetness,2,0,1,0,1,0
form,2,0,0,0,1,1
tell,2,0,0,0,1,1
longer,2,0,0,0,0,2
those,2,0,0,0,0,2
health,2,0,0,0,0,2
else,2,0,0,0,0,2
seconds,2,0,0,0,0,2
?,2,0,0,0,0,2
nate,2,0,0,0,2,0
room,2,0,0,0,1,1
packet,2,0,0,0,1,1
chance,2,0,0,0,1,1
ended,2,1,0,0,1,0
30,2,0,0,0,0,2
per,2,0,0,0,0,2
isn,2,0,0,0,0,2
empty,2,0,0,0,1,1
cheap,2,0,0,0,0,2
done,2,0,0,0,0,2
under,2,0,0,0,1,1
experience,2,1,0,0,0,1
difference,2,0,0,0,0,2
end,2,0,0,0,0,2
person,2,1,0,0,0,1
overly,2,0,0,0,0,2
breakfast,2,0,0,0,1,1
anything,2,1,0,0,0,1
doesn,2,0,1,1,0,0
quite,2,0,0,1,0,1
package,2,0,0,0,0,2
fine,2,0,0,0,1,1
ok,2,0,0,1,1,0
stores,2,0,0,1,0,1
nothing,2,0,0,1,0,1
worked,2,0,0,0,0,2
yet,2,0,0,0,1,1
wasn,2,0,0,0,1,1
vermont,2,0,0,0,2,0
along,2,0,0,0,1,1
jaw,2,0,0,0,2,0
harp,2,0,0,0,2,0
jelly,2,0,0,0,1,1
ass,2,0,0,0,2,0
kickin,2,0,0,0,2,0
nose,2,0,0,0,2,0
run,2,0,0,0,1,1
ordinary,2,0,0,0,2,0
especially,2,0,0,0,1,1
greg,2,0,0,0,2,0
spices,2,0,0,0,1,1
christmas,2,0,0,0,1,1
spicy,2,0,0,2,0,0
south,2,0,0,1,0,1
roast,2,0,0,0,1,1
popcorn,2,1,0,0,1,0
slightly,2,0,0,0,1,1
strong,2,0,0,0,1,1
smooth,2,0,0,0,1,1
wonderful,2,0,0,0,0,2
aftertaste,2,0,1,0,0,1
friends,2,0,0,0,0,2
halloween,2,0,0,0,0,2
everything,2,0,0,0,0,2
chocolates,2,1,0,0,0,1
4,2,0,0,1,0,1
cheaper,2,0,0,0,0,2
days,2,1,0,0,0,1
desert,2,0,0,0,0,2
laced,2,0,0,0,0,2
camelbaks,2,0,0,0,0,2
tablets,2,0,0,0,0,2
during,2,0,0,0,0,2
diet,2,0,0,0,0,2
ago,2,1,0,0,0,1
having,2,0,0,0,0,2
might,2,0,0,0,0,2
help,2,0,0,1,0,1
across,2,0,0,0,0,2
hint,2,0,2,0,0,0
consuming,2,1,1,0,0,0
various,2,0,1,0,0,1
come,2,0,1,0,0,1
tasted,2,0,1,0,0,1
terrible,2,1,1,0,0,0
gummi,2,0,0,0,0,2
rings,2,0,0,0,0,2
type,2,0,0,0,0,2
5,2,0,0,0,0,2
popsicles,2,0,0,0,0,2
later,2,1,0,0,0,1
pastry,2,0,0,0,0,2
gone,2,1,0,0,0,1
short,2,2,0,0,0,0
gas,2,1,0,0,0,1
experienced,2,1,0,0,0,1
learned,2,1,0,0,0,1
side,2,2,0,0,0,0
effects,2,2,0,0,0,0
stopped,2,1,0,1,0,0
label,2,2,0,0,0,0
sugarfree,2,2,0,0,0,0
next,2,1,0,0,0,1
bottom,2,1,0,0,0,1
20,2,1,0,0,0,1
through,2,0,0,0,0,2
melted,2,0,0,1,0,1
purchasing,2,0,0,0,0,2
summer,2,0,0,0,0,2
items,2,0,0,0,0,2
fun,2,0,0,0,0,2
molecular,2,0,0,0,0,2
let,2,0,0,0,0,2
hate,2,0,0,0,0,2
cream,2,0,0,0,0,2
idea,2,0,0,0,0,2
mixing,2,0,0,0,0,2
reason,2,0,0,1,0,1
increased,2,0,0,2,0,0
significantly,2,0,0,1,0,1
scratching,2,0,0,2,0,0
environmental,2,0,0,0,0,2
prescription,2,0,0,0,0,2
finally,2,0,0,0,0,2
cause,2,0,0,0,0,2
vet,2,0,0,0,0,2
wonders,2,0,0,0,0,2
jack,2,0,0,0,0,2
russell,2,0,0,0,0,2
allergy,2,0,0,0,0,2
standard,2,0,0,0,0,2
switched,2,0,0,0,0,2
couple,2,0,0,0,0,2
old,2,0,0,0,0,2
prime,2,0,0,0,0,2
golden,2,0,0,0,0,2
issues,2,0,0,0,0,2
healthier,2,0,0,0,0,2
normal,2,0,0,0,0,2
vitality,1,0,0,0,0,1
canned,1,0,0,0,0,1
looks,1,0,0,0,0,1
stew,1,0,0,0,0,1
processed,1,0,0,0,0,1
meat,1,0,0,0,0,1
labrador,1,0,0,0,0,1
finicky,1,0,0,0,0,1
appreciates,1,0,0,0,0,1
labeled,1,1,0,0,0,0
salted,1,1,0,0,0,0
unsalted,1,1,0,0,0,0
error,1,1,0,0,0,0
vendor,1,1,0,0,0,0
intended,1,1,0,0,0,0
represent,1,1,0,0,0,0
confection,1,0,0,0,1,0
centuries,1,0,0,0,1,0
light,1,0,0,0,1,0
pillowy,1,0,0,0,1,0
citrus,1,0,0,0,1,0
gelatin,1,0,0,0,1,0
filberts,1,0,0,0,1,0
squares,1,0,0,0,1,0
liberally,1,0,0,0,1,0
coated,1,0,0,0,1,0
mouthful,1,0,0,0,1,0
heaven,1,0,0,0,1,0
flavorful,1,0,0,0,1,0
story,1,0,0,0,1,0
c,1,0,0,0,1,0
lewis,1,0,0,0,1,0
lion,1,0,0,0,1,0
wardrobe,1,0,0,0,1,0
seduces,1,0,0,0,1,0
edmund,1,0,0,0,1,0
brother,1,0,0,0,1,0
sisters,1,0,0,0,1,0
secret,1,0,1,0,0,0
robitussin,1,0,1,0,0,0
addition,1,0,1,0,0,0
extract,1,0,1,0,0,0
cherry,1,0,1,0,0,0
medicinal,1,0,1,0,0,0
wide,1,0,0,0,0,1
delivery,1,0,0,0,0,1
wild,1,0,0,0,1,0
hair,1,0,0,0,1,0
enjoyable,1,0,0,0,1,0
watermelon,1,0,0,0,1,0
melon,1,0,0,0,1,0
complaint,1,0,0,0,1,0
pieces,1,0,0,0,1,0
favorites,1,0,0,0,1,0
lasted,1,0,0,0,1,0
weeks,1,0,0,0,1,0
delightful,1,0,0,0,1,0
saltwater,1,0,0,0,0,1
individually,1,0,0,0,0,1
wrapped,1,0,0,0,0,1
stuck,1,0,0,0,0,1
happen,1,0,0,0,0,1
version,1,0,0,0,0,1
fralinger,1,0,0,0,0,1
served,1,0,0,0,0,1
beach,1,0,0,0,0,1
themed,1,0,0,0,0,1
mostly,1,0,0,0,0,1
sprouting,1,0,0,0,0,1
grass,1,0,0,0,0,1
rotate,1,0,0,0,0,1
wheatgrass,1,0,0,0,0,1
rye,1,0,0,0,0,1
digestion,1,0,0,0,0,1
puppies,1,0,0,0,0,1
required,1,0,0,0,0,1
boys,1,0,0,0,0,1
needed,1,0,0,0,0,1
lose,1,0,0,0,0,1
floor,1,0,0,0,0,1
guy,1,0,0,0,0,1
protein,1,0,0,0,0,1
where,1,0,0,0,0,1
skinny,1,0,0,0,0,1
jump,1,0,0,0,0,1
sits,1,0,0,0,0,1
losing,1,0,0,0,0,1
week,1,0,0,0,0,1
happily,1,1,0,0,0,0
felidae,1,1,0,0,0,0
platinum,1,1,0,0,0,0
shape,1,1,0,0,0,0
sit,1,1,0,0,0,0
kitties,1,1,0,0,0,0
related,1,1,0,0,0,0
changes,1,1,0,0,0,0
securely,1,0,0,0,1,0
guilty,1,0,0,0,0,1
pleasure,1,0,0,0,0,1
son,1,0,0,0,0,1
shipment,1,0,0,0,0,1
hit,1,0,0,0,0,1
spot,1,0,0,0,0,1
exactly,1,0,0,0,0,1
expect,1,0,0,0,0,1
packages,1,0,0,0,0,1
watching,1,0,1,0,0,0
tv,1,0,1,0,0,0
movies,1,0,1,0,0,0
transfer,1,0,1,0,0,0
zip,1,0,1,0,0,0
lock,1,0,1,0,0,0
baggie,1,0,1,0,0,0
satisfied,1,0,0,0,0,1
twizzler,1,0,0,0,0,1
childhood,1,0,0,0,0,1
lancaster,1,0,0,0,0,1
pennsylvania,1,0,0,0,0,1
oldest,1,0,0,0,0,1
confectionery,1,0,0,0,0,1
firms,1,0,0,0,0,1
united,1,0,0,0,0,1
states,1,0,0,0,0,1
subsidiary,1,0,0,0,0,1
hershey,1,0,0,0,0,1
established,1,0,0,0,0,1
1845,1,0,0,0,0,1
young,1,0,0,0,0,1
smylie,1,0,0,0,0,1
color,1,0,0,0,0,1
blue,1,0,0,0,0,1
keep,1,0,0,0,0,1
place,1,0,0,0,0,1
according,1,0,0,0,0,1
book,1,0,0,0,0,1
records,1,0,0,0,0,1
longest,1,0,0,0,0,1
measured,1,0,0,0,0,1
200,1,0,0,0,0,1
feet,1,0,0,0,0,1
370,1,0,0,0,0,1
weighted,1,0,0,0,0,1
100,1,0,0,0,0,1
45,1,0,0,0,0,1
kg,1,0,0,0,0,1
became,1,0,0,0,0,1
july,1,0,0,0,0,1
19,1,0,0,0,0,1
1998,1,0,0,0,0,1
kosher,1,0,0,0,0,1
reasonable,1,0,0,0,0,1
bound,1,0,0,0,0,1
unable,1,0,0,0,0,1
addict,1,0,0,0,0,1
government,1,0,0,0,0,1
employees,1,0,0,0,0,1
living,1,0,0,0,0,1
assigned,1,0,0,0,0,1
arrive,1,0,0,0,0,1
timely,1,0,0,0,0,1
manner,1,0,0,0,0,1
currently,1,0,0,0,0,1
apparently,1,0,0,0,0,1
staff,1,0,0,0,0,1
generous,1,0,0,0,0,1
remember,1,0,0,0,0,1
kid,1,0,0,0,0,1
hasn,1,0,0,0,0,1
dropped,1,0,0,0,0,1
superb,1,0,0,0,0,1
disappointed,1,0,0,0,0,1
watchers,1,0,0,0,0,1
craving,1,0,0,0,0,1
7,1,0,0,0,0,1
yrs,1,0,0,0,0,1
miss,1,0,0,0,0,1
visit,1,0,0,0,0,1
visits,1,0,0,0,0,1
yum,1,0,0,0,0,1
mexico,1,0,0,0,0,1
faithful,1,0,0,0,0,1
received,1,0,0,0,0,1
plan,1,1,0,0,0,0
carried,1,0,0,0,1,0
batteries,1,0,0,0,1,0
finding,1,0,0,0,1,0
elsewhere,1,0,0,0,1,0
such,1,0,0,0,1,0
garage,1,0,0,0,1,0
opener,1,0,0,0,1,0
mum,1,0,0,0,0,1
diabetic,1,0,0,0,0,1
needs,1,0,0,0,0,1
father,1,0,0,0,0,1
chooses,1,0,0,0,0,1
limit,1,0,0,0,0,1
unnecessary,1,0,0,0,0,1
tooth,1,0,0,0,0,1
toffees,1,0,0,0,0,1
guilt,1,0,0,0,0,1
w,1,0,0,0,0,1
office,1,0,0,0,0,1
snacking,1,0,0,0,0,1
sweets,1,0,0,0,0,1
huge,1,0,0,0,0,1
mother,1,0,0,0,0,1
talked,1,0,0,0,0,1
macciato,1,0,0,0,0,1
usually,1,0,0,0,0,1
drinker,1,0,0,0,0,1
dolche,1,0,0,0,0,1
guesto,1,0,0,0,0,1
super,1,0,0,0,0,1
prepares,1,0,0,0,0,1
cappuccino,1,0,0,0,0,1
heated,1,0,0,0,0,1
dolce,1,0,0,0,0,1
gusto,1,0,0,0,0,1
offer,1,0,0,0,0,1
staral,1,0,0,0,0,1
must,1,0,0,0,1,0
scrape,1,0,0,0,1,0
escaping,1,0,0,0,1,0
nowhere,1,0,0,0,1,0
near,1,0,0,0,1,0
requiring,1,0,0,0,1,0
stovetop,1,0,0,0,1,0
preparation,1,0,0,0,1,0
gets,1,0,0,0,1,0
organic,1,0,0,0,1,0
prepared,1,0,0,0,1,0
adding,1,0,0,0,1,0
actual,1,0,0,0,1,0
fructose,1,0,0,0,1,0
decide,1,0,0,0,1,0
harmful,1,0,0,0,1,0
thickeners,1,0,0,0,1,0
creamy,1,0,0,0,1,0
sitting,1,0,0,0,1,0
becomes,1,0,0,0,1,0
gluey,1,0,0,0,1,0
uses,1,0,0,0,1,0
fructouse,1,0,0,0,1,0
doctors,1,0,0,0,1,0
require,1,0,0,0,1,0
doctoring,1,0,0,0,1,0
apart,1,0,0,0,1,0
